Part,Value,Device,Package,Description
C1,100n,C-EUC0805,C0805K,"CAPACITOR, European symbol"
C3,22nF,C-EUC0805,C0805K,"CAPACITOR, European symbol"
C4,10uF,C-EUC0805,C0805K,"CAPACITOR, European symbol"
C5,220uF,C-EUC1210,C1210,"CAPACITOR, European symbol"
C6,0.1uF ,C-EUC0805,C0805K,"CAPACITOR, European symbol"
D1,,SCHOTTKY-DIODESMD,SMB,B240A
D3,4007-4148,DIODESOD123FL,DIO_SOD123FL,1N4148
L1,4.7uH,L-EUL3225M,L3225M,"Inductor, can be shielded one if you have."
OP1,,LED0805LED,0805LED,"A Led for relay, any color"
Q1,,MOSFET_NSOT23,SOT23,Power MOSFET N-Channel for relay
R7,150K,RESISTORR0805,R0805,
R8,28.7K,RESISTORR0805,R0805,
R9,102R,RESISTORR0805,R0805,
R10,15K,RESISTORR0805,R0805,
R12,1K / 102R,RESISTORR0805,R0805,
R11,10K / 103R,RESISTORR0805,R0805,SAME 10K resistors 9
R13,10K,RESISTORR0805,R0805,
R14,10K,RESISTORR0805,R0805,
R1,10K,RESISTORR0805,R0805,
R2,10K,RESISTORR0805,R0805,
R3,10K,RESISTORR0805,R0805,
R4,10K,RESISTORR0805,v,
R5,10K,RESISTORR0805,R0805,
R6,10K,RESISTORR0805,R0805,
RESET,RESET,BUTTON-2PSWITCH-TURTLE-2P,2P-SWITCH-TURTLE,Small turtle buttons
FLASH,FLASH,BUTTON-2PSWITCH-TURTLE-2P,2P-SWITCH-TURTLE,
RELAY,2XSWITCH,2XSWITCH,HFD3-SIGNAL,Relay HFD3/5V  MUST BE 5V version!!!
U2,,POWERSOT223,SOT223,Voltage Regulator LM1117
BUCKCONV,AIC1896CG-SOT23-6,ACT4088-(SOT23-6),SOT-23-6,ACT4088
